assembly_path,sample,assembler,gc_fraction,scaffold_total,sequence_total_mb,n50_kbp,l50,max_scaffold_kbp,scaffolds_gt_50kb
/storage/biology/projects/miller-lowry/beitner/metagenomic-multi-assembly-wrapper/assemblies/S1/assembly.megahit/final.contigs.fa,S1,megahit,0.6327,1266453,1546.278,2.325,92814.0,878.629,50
/storage/biology/projects/miller-lowry/beitner/metagenomic-multi-assembly-wrapper/assemblies/S10/assembly.megahit/final.contigs.fa,S10,megahit,0.6321,1544992,1931.663,2.469,108250.0,1010.9999999999999,50
/storage/biology/projects/miller-lowry/beitner/metagenomic-multi-assembly-wrapper/assemblies/S11/assembly.megahit/final.contigs.fa,S11,megahit,0.6469,1524036,2038.62,3.017,87431.0,1010.9999999999999,50
/storage/biology/projects/miller-lowry/beitner/metagenomic-multi-assembly-wrapper/assemblies/S2/assembly.flye/assembly.fasta,S2,flye,0.6207,14046,157.157,16.378,2450.0,184.697,50
/storage/biology/projects/miller-lowry/beitner/metagenomic-multi-assembly-wrapper/assemblies/S2/assembly.megahit/final.contigs.fa,S2,megahit,0.6222,1429379,1864.646,2.738,91545.0,1093.0,50
/storage/biology/projects/miller-lowry/beitner/metagenomic-multi-assembly-wrapper/assemblies/S2/assembly.metamdbg/contigs.fasta,S2,metamdbg,0.6068,9033,137.119,19.745,1413.0,3767.0,50
/storage/biology/projects/miller-lowry/beitner/metagenomic-multi-assembly-wrapper/assemblies/S2/assembly.metaspades_hybrid/assembly.fasta,S2,metaspades_hybrid,0.6174,4058030,2638.478,1.105,297136.0,5064.0,50
/storage/biology/projects/miller-lowry/beitner/metagenomic-multi-assembly-wrapper/assemblies/S3/assembly.megahit/final.contigs.fa,S3,megahit,0.641,1222262,1560.107,2.714,78422.0,1010.9999999999999,50
/storage/biology/projects/miller-lowry/beitner/metagenomic-multi-assembly-wrapper/assemblies/S4/assembly.megahit/final.contigs.fa,S4,megahit,0.6503,1441877,1726.316,2.301,101088.0,1010.9999999999999,50
/storage/biology/projects/miller-lowry/beitner/metagenomic-multi-assembly-wrapper/assemblies/S5/assembly.flye/assembly.fasta,S5,flye,0.6159,7438,89.315,17.276,1337.0,245.287,50
/storage/biology/projects/miller-lowry/beitner/metagenomic-multi-assembly-wrapper/assemblies/S5/assembly.megahit/final.contigs.fa,S5,megahit,0.6268,1706746,2009.647,2.132,134064.0,1010.9999999999999,50
/storage/biology/projects/miller-lowry/beitner/metagenomic-multi-assembly-wrapper/assemblies/S5/assembly.metaspades_hybrid/assembly.fasta,S5,metaspades_hybrid,0.6268,5521376,3195.668,,,3009.0,50
/storage/biology/projects/miller-lowry/beitner/metagenomic-multi-assembly-wrapper/assemblies/S6/assembly.megahit/final.contigs.fa,S6,megahit,0.6412,1352738,1670.73,2.44,95250.0,1010.9999999999999,50
/storage/biology/projects/miller-lowry/beitner/metagenomic-multi-assembly-wrapper/assemblies/S7/assembly.megahit/final.contigs.fa,S7,megahit,0.6446,1460611,1742.362,2.237,105525.0,1010.9999999999999,50
/storage/biology/projects/miller-lowry/beitner/metagenomic-multi-assembly-wrapper/assemblies/S8/assembly.megahit/final.contigs.fa,S8,megahit,0.6413,1458942,1769.207,2.256,111084.0,1010.9999999999999,50
/storage/biology/projects/miller-lowry/beitner/metagenomic-multi-assembly-wrapper/assemblies/S9/assembly.megahit/final.contigs.fa,S9,megahit,0.6417,1499047,1946.514,2.679,101985.0,1010.9999999999999,50
